imgPr_cal_t,reduce_right_lines_cal_t,reduce_left_lines_cal_t,left_right_cal_t,cl_cal_t,display_t,Lane_cl_t
0.009973049,0,0,0.001995087,0,no-display-screen,0.073801756
,,,,,,
0.003987312,smaller than MIN_SIZE_REDUCE,smaller than MIN_SIZE_REDUCE,0.000997782,0,no-display-screen,0.006981134
,,,,,,
0.004986525,smaller than MIN_SIZE_REDUCE,0,0,0,0.04288578,0.062834978
,,,,,,
0.003031015,0,0.001033306,0.001033306,0,no-display-screen,0.068851709
,,,,,,
0.003026962,smaller than MIN_SIZE_REDUCE,smaller than MIN_SIZE_REDUCE,0.000961065,0,no-display-screen,0.013926744
,,,,,,
0.002992153,smaller than MIN_SIZE_REDUCE,smaller than MIN_SIZE_REDUCE,0.001994133,0,0.046874762,0.067819595
,,,,,,
0.004987478,0,0,0.000999212,0,no-display-screen,0.008939266
,,,,,,
0.002989531,0,0,0.000997066,0,no-display-screen,0.003986597
,,,,,,
0.002991676,0,0,0.000997782,0,0.048868895,0.058842421
,,,,,,
0.005983114,0,0,0.001994848,0,no-display-screen,0.072805166
,,,,,,
0.003954411,smaller than MIN_SIZE_REDUCE,0.000997543,0.000997543,0,no-display-screen,0.009939909
,,,,,,
0.003953457,0,0,0.000997782,0,0.035903454,0.058842421
,,,,,,
0.004983902,0,0,0.000997543,0,no-display-screen,0.073801279
,,,,,,
0.004923105,smaller than MIN_SIZE_REDUCE,0,0,0,no-display-screen,0.011968136
,,,,,,
0.004986048,0,0,0.000997305,0,0.055852413,0.067820787
,,,,,,
0.004947186,0.000996828,0,0.00199461,0,no-display-screen,0.074799061
,,,,,,
0.004984617,0,0,0,0,no-display-screen,0.012965441
,,,,,,
0.007979393,0,0,0.002028227,0,0.040891409,0.057845354
,,,,,,
0.004987717,smaller than MIN_SIZE_REDUCE,0,0.000997305,0,no-display-screen,0.015959024
,,,,,,
0.002991915,0,0,0.001995325,0,no-display-screen,0.00498724
,,,,,,
0.004974365,0,0,0.000997305,0,0.042884827,0.054844379
,,,,,,
0.009012938,0,0,0.000957489,0,no-display-screen,0.074798822
,,,,,,
0.004025459,smaller than MIN_SIZE_REDUCE,0,0.000961304,0,no-display-screen,0.00893569
,,,,,,
0.005027056,0,0,0.000994921,0,0.044845343,0.067819118
,,,,,,
0.00698185,0,smaller than MIN_SIZE_REDUCE,0.000996351,0,no-display-screen,0.022938251
,,,,,,
